,Post
0,"During an interview, I allow a candidate to use the internet 🌎To get help on code syntax, etc. I pay attention to what exactly they search for. It helps me understand how they navigate through an abundance of information to find the necessary ingredients for accomplishing a given task. After all, that's exactly what they will be doing after they are hired!In short: Search Skill > Memorization Skill#interview"
1,"Delivered by expert PMs from Toothsi, IBM, PayPal & more, the MasterCamp in Product Management is a 12-month programme designed to help you transition to Product Management. It also includes:- Curating a job-ready product portfolio- 6 months of your journey will be dedicated to building your own startup- Target jobs at top startups & companies with 50+ placement drivesApplication Deadline: 20th March 2023Apply Now : https://lnkd.in/dC3iRKG5"
2,"🎧🎉The DJ Night at Epoque@Prastuti 2023 was a night to remember! The energy was high, the crowd was massive, and the music was electric! Check out some of the highlights from the event featuring DJ Nina Suerte and DJ Ravetek from Sunburn Campus! 🎧🎉Here are the glimpses of the event.KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #Epoque_at_Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #Prastuti2023#Epoque2023 #FashionShowCompetition #TalentShowcase #Glimpses #Epoque2023 #DJNight #MusicFestival #HugeCrowd #FunTimes #SunburnCampus #Sunburn #DJRavetek #DJNinaSuerte"
3,"The value of 1 Crore, after: - 10 years from now= 50Lakhs.- 15 years from now= 36Lakhs.- 20 years from now= 25Lakhs.(Assume: 7% inflation) Mutual Funds show you the opposite picture: invest 10K/month for 20 years. And, you will get 1Cr.But, do understand the true value of that 1Cr, 20 years from now.Therefore, the goal should not necessarily be to make 1Cr.The goal should be to grow your money faster than inflation.*****Equity Investing is ONE of the many options. If you are exploring this route, you can check my Free List here (https://lnkd.in/envmhA7e)"
4,Friday sharing posts FB-https://lnkd.in/dgtM8hz7
5,"Introducing New Murabba, the world’s largest modern downtown. At its heart, The Mukaab, the world’s first immersive, experiential destination. #TheNewMurabba"
6,"I’ve applied to over 200 job postings in the last 6 months..0 interviews, zero offers, and countless rejections. Sometimes being #opentowork is one of the most mentally draining experiences, but I’m not giving up!Current Location- PolandI am #opentowork for a Human Resources  Recruitment positions and would love any help, even if it’s just sharing this post! Let’s connect! 😊 #help #humanresources #opentowork # recruitment #sharethispost"
7,"The moment you've been waiting for has arrived! The one and only Darshan Raval is all set to blow your mind with his mesmerizing performance at the Epoque@Prastuti 2023 - Annual Inter-Institutional Cultural Fest! Get ready to groove to the beats and experience the most happening musical event of the year.   We would like to extend a big thank you to our sponsors @redchiefofficial , SG Enterprises , and TribeVibe for making this incredible event possible. KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #Epoque_at_Prastuti2023 #Epoque2023 #Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #InauguralCeremony #CelebratingInnovation #Culture #Creativity #darshanraval #Redchief #LivePerformance #Singing #Performance #darshanravaldz #event #thankyou #music #entertainment #Sponsors"
8,"From cybersecurity capabilities to building sustainable supply chains, discover how Alycia and Fatimah are supercharging sustainable tech-driven change at Oxagon.#NEOM #Oxagon #IWD2023"
9,"Hello everyone!I am glad to share with you all that i have started my corporate journey as a SDE intern at Societe Generale from march,2023.I would like to thank Darshan Melgiri,Tina Vij Kakkar,Namratha Vijay,Bhavya B Gowda and others at societe generale for the smooth onboarding process.I would also express my gratitude towards training and placement cell at Birla Institute of Technology, Mesra for giving me this opportunity.Lastly i want to thank my family for being the constant pillar of support and guidance and my friends and seniors at Birla Institute of Technology, Mesra for being there whenever i needed them.As i step into the corporate world,i look forward to continuously learn and grow and hence contribute the best for Societe Generale Global Solution Centre.#onwardsandupwards #firstpost #sde #intern #societegenerale #corporate #newbeginnings"
10,"🎯💼 Join Our Exciting 2-Month Internship! 💼🎯👉🏼 🤔 Ready to be the driving force behind our company's success?📍 Ozibook is seeking skilled Business Analyst Interns!💼 As a Business Analyst Intern, you'll have the chance to:🧠 Design insightful reports for different departments💡 Develop effective problem-solving strategies💻 Build efficient workflows for our creative team🔍 Check out our detailed document for more information on the internship and responsibilities:https://lnkd.in/dbhdBSt6💪🏼 If you're passionate about making a positive impact in education, apply today!🎉 Benefits:✅ Monthly stipend of Rs. 1000✅ Completion certificate for your internship✅ Performance-based letter of recommendation📩 Leave your email in the comments, and our team will contact you shortly.#startup #internship #hiringinterns #businessanalystinternship #startuphiring #campushiring #placementcells #education #businessanalystinterns #hiringTanvi Mittal Smita ChauhanTreasa Janet Mayank Kumar GolaNupur SharmaKeyur PadiyaHarisankar KNAMAN SHARMAAnuroop KothamasuJay Enumula"
11,"For Mutual Fund related information, visit our website: mutualfundssahihai.com. #MutualFundsSahiHai"
12,"First Amberg, now Munich - the #SiGREEN flag has been planted at #Siemens HQ!"
13,Hi Everyone!I am extremely delighted to share that I have recentaly joined Angel One as SDE 2. I am very excited to be part of such a prestigious firm and work with amazing people.Looking forward to a great learning experience.#newjob #softwaredevelopement
14,"Happy International Women's Day! At Gandhi Automations Pvt Ltd, we are proud to have a team of talented women who contribute to our success every day. We believe in the importance of women's empowerment and creating a workplace where everyone has equal opportunities to thrive. Empowering women is not just a one-day celebration but a daily commitment. In honour of this particular day, we want to highlight some incredible women on our team. These women are making a difference in our company and beyond. We are grateful for their hard work, dedication, and leadership.We encourage everyone to join us in celebrating the amazing women in our lives and workplaces.#WomensDay #InternationalWomensDay #IWD2023 #EmbranceEquity #IWDTheme #empower #womeninengineering #womeninSTEM #leadership #womeninbusiness #digitALL #grateful #superwomen #womenempowerment #gandhiautomations #opportunities #careers #nowhiring #careerdevelopment #growth #equality #jobs #hiring #aviation #aerospace #defense #military #engineering #advancedengineering #technology #entranceautomation #loadingbayequipment #highspeeddoors #docklevelers #docklevellers #sectionaldoors #aircrafthangardoors #hangardoors #slidinghangardoors #makeinindia #team"
15,"The festival of colors has arrived, and Appinventiv is filled with vibrant hues and joyful energy.From smearing vibrant colors on each other's faces to dancing to the beats of dhol, laughter and joy filled the air as #Appinventors enjoyed this wonderful day with colleagues.It was so pleasant to see teams dressed in white coming together and celebrating the festival with their full enthusiasm.As everyone dipped themselves in the vibrant hues and devoured delicious sweets, the joy reflected on each member's face filled me with contentment.It was a moment of pure joy and reminded me of the importance of celebrating diversity, inclusion, and harmony in our workplace.Here's to another year of Holi Bash at Appinventiv.Also, wishing my dear connections a very Happy Holi!PS- catch a glimpse of happy Appinventors smeared with beautiful hues.#inclusion #energy #diversity #holiatappinventiv #appinventiv #holi2023"
16,"Wishing you all a Holi filled with joy and happiness. May the colours of the festival brighten up your life!KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu  | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #Holi #HoliFestival #festivalofcolors #Colours #Fun #Joy #Happiness #Togetherness"
17,"We feel, but words elude us. Our truth remains unheard. Find your voice again, through these courageous women: infy.com/3mBEWDP #RaiseYourHand🙋 #EmbraceEquity #InfosysIWD23 #InfosysEmbraceEquity Becky Hemsley"
18,Hello Tata Consultancy Services.  I got this interview call letter from your side . this is real or fake please confirm.
19,"Our latest blog post, ""Unleashing Creativity: 8 AI Art Tools Revolutionizing the Art World,"" showcases some of the most innovative AI art tools that are changing the game for artists and art enthusiasts alike.https://lnkd.in/dMj7F-4z#generativeai #aiart"
